source_pos,destination_pos,pair,count,percentage,source_category_error_rate
NOUN,NOUN,NOUN -> NOUN,1350,16.6976,0.144447
VERB,VERB,VERB -> VERB,501,6.1967,0.116349
NOUN,VERB,NOUN -> VERB,400,4.9474,0.042799
NUM,DET,NUM -> DET,329,4.0693,0.389810
ADJ,ADJ,ADJ -> ADJ,286,3.5374,0.079290
VERB,NOUN,VERB -> NOUN,232,2.8695,0.053878
ADJ,NOUN,ADJ -> NOUN,210,2.5974,0.058220
NOUN,ADJ,NOUN -> ADJ,206,2.5479,0.022042
PRON,PRON,PRON -> PRON,187,2.3129,0.045744
NOUN,PROPN,NOUN -> PROPN,179,2.2140,0.019153
DET,DET,DET -> DET,167,2.0656,0.034690
PROPN,NOUN,PROPN -> NOUN,137,1.6945,0.131858
CCONJ,DET,CCONJ -> DET,125,1.5461,0.075347
CCONJ,ADP,CCONJ -> ADP,114,1.4100,0.068716
NOUN,ADV,NOUN -> ADV,93,1.1503,0.009951
ADJ,VERB,ADJ -> VERB,89,1.1008,0.024674
NOUN,PRON,NOUN -> PRON,83,1.0266,0.008881
ADV,NOUN,ADV -> NOUN,81,1.0019,0.022494
ADP,DET,ADP -> DET,80,0.9895,0.016343
NUM,ADP,NUM -> ADP,71,0.8782,0.084123
NOUN,ADP,NOUN -> ADP,69,0.8534,0.007383
DET,NOUN,DET -> NOUN,68,0.8411,0.014125
NOUN,AUX,NOUN -> AUX,67,0.8287,0.007169
ADV,ADV,ADV -> ADV,66,0.8163,0.018328
DET,ADP,DET -> ADP,65,0.8040,0.013502
ADV,ADP,ADV -> ADP,64,0.7916,0.017773
PRON,NOUN,PRON -> NOUN,64,0.7916,0.015656
VERB,ADJ,VERB -> ADJ,62,0.7669,0.014399
PROPN,ADJ,PROPN -> ADJ,59,0.7297,0.056785
PROPN,PROPN,PROPN -> PROPN,58,0.7174,0.055823
ADP,ADP,ADP -> ADP,57,0.7050,0.011645
AUX,AUX,AUX -> AUX,57,0.7050,0.024245
PRON,DET,PRON -> DET,53,0.6555,0.012965
NOUN,DET,NOUN -> DET,52,0.6432,0.005564
ADV,PRON,ADV -> PRON,51,0.6308,0.014163
DET,PRON,DET -> PRON,49,0.6061,0.010179
DET,CCONJ,DET -> CCONJ,48,0.5937,0.009971
VERB,ADV,VERB -> ADV,48,0.5937,0.011147
PRON,ADV,PRON -> ADV,47,0.5813,0.011497
ADP,ADJ,ADP -> ADJ,46,0.5690,0.009397
ADV,ADJ,ADV -> ADJ,45,0.5566,0.012497
NOUN,NUM,NOUN -> NUM,45,0.5566,0.004815
ADJ,NUM,ADJ -> NUM,43,0.5318,0.011921
NOUN,SYM,NOUN -> SYM,43,0.5318,0.004601
DET,ADJ,DET -> ADJ,42,0.5195,0.008725
NUM,NUM,NUM -> NUM,42,0.5195,0.049763
PRON,VERB,PRON -> VERB,42,0.5195,0.010274
PROPN,VERB,PROPN -> VERB,42,0.5195,0.040423
ADJ,PRON,ADJ -> PRON,41,0.5071,0.011367
ADJ,DET,ADJ -> DET,40,0.4947,0.011090
ADP,VERB,ADP -> VERB,40,0.4947,0.008172
ADP,CCONJ,ADP -> CCONJ,39,0.4824,0.007967
VERB,PRON,VERB -> PRON,39,0.4824,0.009057
ADP,ADV,ADP -> ADV,37,0.4576,0.007559
ADP,NOUN,ADP -> NOUN,37,0.4576,0.007559
PROPN,PRON,PROPN -> PRON,37,0.4576,0.035611
VERB,PROPN,VERB -> PROPN,37,0.4576,0.008593
AUX,NOUN,AUX -> NOUN,34,0.4205,0.014462
ADJ,PROPN,ADJ -> PROPN,32,0.3958,0.008872
DET,VERB,DET -> VERB,31,0.3834,0.006440
AUX,PRON,AUX -> PRON,30,0.3711,0.012761
PROPN,DET,PROPN -> DET,30,0.3711,0.028874
AUX,VERB,AUX -> VERB,29,0.3587,0.012335
PRON,AUX,PRON -> AUX,29,0.3587,0.007094
ADJ,ADP,ADJ -> ADP,28,0.3463,0.007763
ADJ,SYM,ADJ -> SYM,28,0.3463,0.007763
PROPN,ADP,PROPN -> ADP,28,0.3463,0.026949
ADP,SYM,ADP -> SYM,27,0.3340,0.005516
ADJ,ADV,ADJ -> ADV,26,0.3216,0.007208
VERB,AUX,VERB -> AUX,26,0.3216,0.006038
ADV,VERB,ADV -> VERB,25,0.3092,0.006943
NUM,CCONJ,NUM -> CCONJ,25,0.3092,0.029621
PRON,ADJ,PRON -> ADJ,25,0.3092,0.006115
SYM,NOUN,SYM -> NOUN,25,0.3092,0.076687
ADP,PRON,ADP -> PRON,23,0.2845,0.004699
DET,SYM,DET -> SYM,23,0.2845,0.004778
VERB,DET,VERB -> DET,23,0.2845,0.005341
DET,ADV,DET -> ADV,22,0.2721,0.004570
PRON,SYM,PRON -> SYM,22,0.2721,0.005382
NUM,ADJ,NUM -> ADJ,21,0.2597,0.024882
VERB,ADP,VERB -> ADP,21,0.2597,0.004877
NUM,NOUN,NUM -> NOUN,18,0.2226,0.021327
ADV,SYM,ADV -> SYM,17,0.2103,0.004721
NUM,PRON,NUM -> PRON,17,0.2103,0.020142
SYM,DET,SYM -> DET,17,0.2103,0.052147
ADP,SCONJ,ADP -> SCONJ,16,0.1979,0.003269
ADV,PROPN,ADV -> PROPN,16,0.1979,0.004443
NOUN,INTJ,NOUN -> INTJ,16,0.1979,0.001712
PROPN,ADV,PROPN -> ADV,16,0.1979,0.015399
PROPN,CCONJ,PROPN -> CCONJ,15,0.1855,0.014437
SYM,ADP,SYM -> ADP,15,0.1855,0.046012
ADV,AUX,ADV -> AUX,14,0.1732,0.003888
ADV,NUM,ADV -> NUM,14,0.1732,0.003888
DET,NUM,DET -> NUM,14,0.1732,0.002908
DET,PROPN,DET -> PROPN,14,0.1732,0.002908
SYM,ADJ,SYM -> ADJ,14,0.1732,0.042945
ADP,AUX,ADP -> AUX,13,0.1608,0.002656
ADV,DET,ADV -> DET,13,0.1608,0.003610
DET,AUX,DET -> AUX,13,0.1608,0.002700
NOUN,SCONJ,NOUN -> SCONJ,13,0.1608,0.001391
PRON,PROPN,PRON -> PROPN,13,0.1608,0.003180
SYM,VERB,SYM -> VERB,13,0.1608,0.039877
ADJ,AUX,ADJ -> AUX,12,0.1484,0.003327
CCONJ,PRON,CCONJ -> PRON,12,0.1484,0.007233
NOUN,CCONJ,NOUN -> CCONJ,12,0.1484,0.001284
ADP,NUM,ADP -> NUM,11,0.1361,0.002247
INTJ,PRON,INTJ -> PRON,11,0.1361,0.186441
PRON,ADP,PRON -> ADP,11,0.1361,0.002691
SCONJ,PRON,SCONJ -> PRON,10,0.1237,0.015060
CCONJ,NOUN,CCONJ -> NOUN,9,0.1113,0.005425
PRON,INTJ,PRON -> INTJ,9,0.1113,0.002202
PRON,NUM,PRON -> NUM,9,0.1113,0.002202
PROPN,AUX,PROPN -> AUX,9,0.1113,0.008662
PROPN,SYM,PROPN -> SYM,9,0.1113,0.008662
ADP,PROPN,ADP -> PROPN,8,0.0989,0.001634
AUX,ADP,AUX -> ADP,8,0.0989,0.003403
CCONJ,ADJ,CCONJ -> ADJ,8,0.0989,0.004822
SYM,PRON,SYM -> PRON,8,0.0989,0.024540
VERB,NUM,VERB -> NUM,8,0.0989,0.001858
PROPN,NUM,PROPN -> NUM,7,0.0866,0.006737
SYM,INTJ,SYM -> INTJ,7,0.0866,0.021472
AUX,ADJ,AUX -> ADJ,6,0.0742,0.002552
AUX,SYM,AUX -> SYM,6,0.0742,0.002552
CCONJ,VERB,CCONJ -> VERB,6,0.0742,0.003617
NUM,AUX,NUM -> AUX,6,0.0742,0.007109
NUM,VERB,NUM -> VERB,6,0.0742,0.007109
SCONJ,SCONJ,SCONJ -> SCONJ,6,0.0742,0.009036
SYM,ADV,SYM -> ADV,6,0.0742,0.018405
SYM,AUX,SYM -> AUX,6,0.0742,0.018405
SYM,PROPN,SYM -> PROPN,6,0.0742,0.018405
VERB,SYM,VERB -> SYM,6,0.0742,0.001393
ADJ,INTJ,ADJ -> INTJ,5,0.0618,0.001386
AUX,ADV,AUX -> ADV,5,0.0618,0.002127
AUX,DET,AUX -> DET,5,0.0618,0.002127
CCONJ,SYM,CCONJ -> SYM,5,0.0618,0.003014
PROPN,INTJ,PROPN -> INTJ,5,0.0618,0.004812
SCONJ,NOUN,SCONJ -> NOUN,5,0.0618,0.007530
VERB,CCONJ,VERB -> CCONJ,5,0.0618,0.001161
X,ADP,X -> ADP,5,0.0618,0.208333
ADV,CCONJ,ADV -> CCONJ,4,0.0495,0.001111
ADV,SCONJ,ADV -> SCONJ,4,0.0495,0.001111
AUX,PROPN,AUX -> PROPN,4,0.0495,0.001701
PRON,CCONJ,PRON -> CCONJ,4,0.0495,0.000978
PRON,SCONJ,PRON -> SCONJ,4,0.0495,0.000978
SCONJ,ADV,SCONJ -> ADV,4,0.0495,0.006024
VERB,INTJ,VERB -> INTJ,4,0.0495,0.000929
VERB,SCONJ,VERB -> SCONJ,4,0.0495,0.000929
ADJ,CCONJ,ADJ -> CCONJ,3,0.0371,0.000832
ADJ,SCONJ,ADJ -> SCONJ,3,0.0371,0.000832
AUX,CCONJ,AUX -> CCONJ,3,0.0371,0.001276
AUX,SCONJ,AUX -> SCONJ,3,0.0371,0.001276
CCONJ,CCONJ,CCONJ -> CCONJ,3,0.0371,0.001808
CCONJ,NUM,CCONJ -> NUM,3,0.0371,0.001808
CCONJ,PROPN,CCONJ -> PROPN,3,0.0371,0.001808
NUM,ADV,NUM -> ADV,3,0.0371,0.003555
NUM,INTJ,NUM -> INTJ,3,0.0371,0.003555
PROPN,SCONJ,PROPN -> SCONJ,3,0.0371,0.002887
SCONJ,AUX,SCONJ -> AUX,3,0.0371,0.004518
SCONJ,VERB,SCONJ -> VERB,3,0.0371,0.004518
SYM,SYM,SYM -> SYM,3,0.0371,0.009202
AUX,NUM,AUX -> NUM,2,0.0247,0.000851
INTJ,ADV,INTJ -> ADV,2,0.0247,0.033898
INTJ,DET,INTJ -> DET,2,0.0247,0.033898
INTJ,NOUN,INTJ -> NOUN,2,0.0247,0.033898
NUM,PROPN,NUM -> PROPN,2,0.0247,0.002370
NUM,SYM,NUM -> SYM,2,0.0247,0.002370
SCONJ,DET,SCONJ -> DET,2,0.0247,0.003012
SCONJ,INTJ,SCONJ -> INTJ,2,0.0247,0.003012
ADV,INTJ,ADV -> INTJ,1,0.0124,0.000278
CCONJ,ADV,CCONJ -> ADV,1,0.0124,0.000603
CCONJ,AUX,CCONJ -> AUX,1,0.0124,0.000603
DET,SCONJ,DET -> SCONJ,1,0.0124,0.000208
INTJ,ADP,INTJ -> ADP,1,0.0124,0.016949
INTJ,PROPN,INTJ -> PROPN,1,0.0124,0.016949
SCONJ,ADP,SCONJ -> ADP,1,0.0124,0.001506
SCONJ,PROPN,SCONJ -> PROPN,1,0.0124,0.001506
SCONJ,SYM,SCONJ -> SYM,1,0.0124,0.001506
SYM,CCONJ,SYM -> CCONJ,1,0.0124,0.003067
SYM,NUM,SYM -> NUM,1,0.0124,0.003067
X,DET,X -> DET,1,0.0124,0.041667
X,PRON,X -> PRON,1,0.0124,0.041667
X,PROPN,X -> PROPN,1,0.0124,0.041667
X,SYM,X -> SYM,1,0.0124,0.041667
